Compound_name,y_pred,y_test
(+)-griseofulvin,8.854314661691175,9.37755102
3-nitrophenol,8.854314661691175,3.360824742
thymine,8.854314661691175,0.142857143
carbamazepine,8.854314661691175,5.142857143
dansyl chloride,8.854314661691175,6.826530612
abiraterone,8.854314661691175,2.826530612
estriol,8.854314661691175,12.51020408
chlorambucil,8.854314661691175,24.94897959
2-hydroxypyridine,8.854314661691175,0.336734694
piroxicam,8.854314661691175,4.673469388
methyl-p-toluene sulfonate,8.854314661691175,3.278350515
tropolone,8.854314661691175,2.908163265
PyBOP,8.854314661691175,3.252525253
p-toluenesulfonyl isocyanate,8.854314661691175,1.643564356
rifampicin,8.854314661691175,9.0
thiamethoxam,8.854314661691175,0.826530612
4-(dimethylamino)benzoic acid,8.854314661691175,3.469387755
